"","Date","Type","Name","Active_Cases","Cumulative_Active_cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","All_Faculty_Staff_Total","All_Student_Total","Cumulative_Group_Total"
"212",2021-08-30,"COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",14,NA,NA,NA,36,NA,NA,NA
"213",2021-08-30,"COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",13,NA,NA,NA,18,NA,NA,NA
"214",2021-08-30,"COLLEGE/UNIVERSITY","HENDERSON STATE UNIVERSITY, ARKADELPHIA",12,NA,5,13,29,NA,NA,NA
"215",2021-08-30,"COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",12,NA,NA,NA,24,NA,NA,NA
"216",2021-08-30,"COLLEGE/UNIVERSITY","U OF A, FORT SMITH",12,NA,6,16,33,NA,NA,NA
"217",2021-08-30,"COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",11,NA,NA,NA,39,NA,NA,NA
"218",2021-08-30,"COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",10,NA,5,21,26,NA,NA,NA
"219",2021-08-30,"COLLEGE/UNIVERSITY","ASU THREE RIVERS, MALVERN",9,NA,NA,NA,12,NA,NA,NA
"220",2021-08-30,"COLLEGE/UNIVERSITY","UACC AT MORRILTON",8,NA,NA,NA,15,NA,NA,NA
"221",2021-08-30,"COLLEGE/UNIVERSITY","CENTRAL BAPTIST COLLEGE, CONWAY",7,NA,0,5,8,NA,NA,NA
"222",2021-08-30,"COLLEGE/UNIVERSITY","U OF A, MONTICELLO",7,NA,NA,NA,17,NA,NA,NA
"223",2021-08-30,"COLLEGE/UNIVERSITY","UACC AT HOPE-TEXARKANA, HOPE",7,NA,NA,NA,10,NA,NA,NA
"224",2021-08-30,"COLLEGE/UNIVERSITY","ASU - NEWPORT, JONESBORO",6,NA,NA,NA,13,NA,NA,NA
"226",2021-08-30,"COLLEGE/UNIVERSITY","LYON COLLEGE, BATESVILLE",6,NA,NA,NA,23,NA,NA,NA
"227",2021-08-30,"COLLEGE/UNIVERSITY","OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",6,NA,NA,NA,7,NA,NA,NA
"228",2021-08-30,"COLLEGE/UNIVERSITY","SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",6,NA,NA,NA,12,NA,NA,NA
"229",2021-08-30,"COLLEGE/UNIVERSITY","U OF A, LITTLE ROCK",6,NA,6,5,23,NA,NA,NA
"230",2021-08-30,"COLLEGE/UNIVERSITY","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",6,NA,NA,NA,22,NA,NA,NA
"231",2021-08-30,"COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",5,NA,8,6,20,NA,NA,NA
"232",2021-08-30,"COLLEGE/UNIVERSITY","TOTAL",405,NA,132,376,872,NA,NA,NA
"233",2021-08-30,"COLLEGE/UNIVERSITY","NUMBER OF SCHOOLS LISTED: 24",NA,NA,NA,NA,NA,NA,NA,NA
"238",2021-08-30,"Totals among schools with less than 5 active cases.","PUBLIC SCHOOL DISTRICTS",NA,227,NA,NA,NA,101,337,532
"239",2021-08-30,"Totals among schools with less than 5 active cases.","PRIVATE SCHOOLS",NA,53,NA,NA,NA,44,109,167
"240",2021-08-30,"Totals among schools with less than 5 active cases.","COLLEGES/UNIVERSITIES",NA,61,NA,NA,NA,30,120,180
"245",2021-08-30,"Totals for all schools.","PUBLIC SCHOOL DISTRICTS",NA,3911,NA,NA,NA,980,5527,7831
"246",2021-08-30,"Totals for all schools.","PRIVATE SCHOOLS",NA,84,NA,NA,NA,48,147,219
"247",2021-08-30,"Totals for all schools.","COLLEGES/UNIVERSITIES",NA,466,NA,NA,NA,162,496,1052
"17",2021-08-26,"PUBLIC SCHOOL DISTRICT","PUBLIC SCHOOL DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"234",2021-08-26,"PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",125,NA,29,170,248,NA,NA,NA
"36",2021-08-26,"PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",124,NA,30,174,240,NA,NA,NA
"410",2021-08-26,"PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",114,NA,31,122,203,NA,NA,NA
"55",2021-08-26,"PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",107,NA,13,119,191,NA,NA,NA
"610",2021-08-26,"PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",104,NA,44,122,199,NA,NA,NA
"74",2021-08-26,"PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",75,NA,17,113,159,NA,NA,NA
"810",2021-08-26,"PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",60,NA,8,75,94,NA,NA,NA
"910",2021-08-26,"PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",56,NA,11,76,103,NA,NA,NA
"1010",2021-08-26,"PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",55,NA,7,53,88,NA,NA,NA
"1110",2021-08-26,"PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",54,NA,14,119,184,NA,NA,NA
"1210",2021-08-26,"PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",43,NA,11,41,62,NA,NA,NA
"1310",2021-08-26,"PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",41,NA,11,62,96,NA,NA,NA
"1410",2021-08-26,"PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",38,NA,7,39,63,NA,NA,NA
"1510",2021-08-26,"PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",36,NA,13,58,89,NA,NA,NA
"169",2021-08-26,"PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",35,NA,13,45,69,NA,NA,NA
"188",2021-08-26,"PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",34,NA,NA,NA,40,NA,NA,NA
"1910",2021-08-26,"PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",34,NA,7,42,60,NA,NA,NA
"2010",2021-08-26,"PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",31,NA,7,44,54,NA,NA,NA
"2110",2021-08-26,"PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",31,NA,NA,NA,48,NA,NA,NA
"2210",2021-08-26,"PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",30,NA,14,55,78,NA,NA,NA
"235",2021-08-26,"PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",29,NA,NA,NA,37,NA,NA,NA
"241",2021-08-26,"PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",29,NA,NA,NA,37,NA,NA,NA
"251",2021-08-26,"PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",29,NA,11,86,107,NA,NA,NA
"261",2021-08-26,"PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",28,NA,0,37,40,NA,NA,NA
"271",2021-08-26,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",27,NA,NA,NA,44,NA,NA,NA
"281",2021-08-26,"PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",27,NA,10,46,68,NA,NA,NA
"291",2021-08-26,"PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",26,NA,5,22,33,NA,NA,NA
"301",2021-08-26,"PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",24,NA,0,21,30,NA,NA,NA
"311",2021-08-26,"PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",24,NA,NA,NA,45,NA,NA,NA
"321",2021-08-26,"PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",24,NA,12,26,48,NA,NA,NA
"331",2021-08-26,"PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",23,NA,6,29,42,NA,NA,NA
"341",2021-08-26,"PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",23,NA,12,66,79,NA,NA,NA
"351",2021-08-26,"PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",23,NA,8,17,37,NA,NA,NA
"371",2021-08-26,"PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",23,NA,14,39,59,NA,NA,NA
"381",2021-08-26,"PUBLIC SCHOOL DISTRICT","EMERSON",22,NA,NA,NA,24,NA,NA,NA
"391",2021-08-26,"PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",22,NA,9,40,52,NA,NA,NA
"401",2021-08-26,"PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",22,NA,NA,NA,35,NA,NA,NA
"411",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",22,NA,8,58,70,NA,NA,NA
"421",2021-08-26,"PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",21,NA,12,39,57,NA,NA,NA
"431",2021-08-26,"PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",21,NA,7,27,47,NA,NA,NA
"441",2021-08-26,"PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",20,NA,6,25,31,NA,NA,NA
"451",2021-08-26,"PUBLIC SCHOOL DISTRICT","KIPP DELTA PUBLIC SCHOOL DIST",20,NA,NA,NA,32,NA,NA,NA
"461",2021-08-26,"PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",20,NA,9,26,37,NA,NA,NA
"471",2021-08-26,"PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",19,NA,NA,NA,37,NA,NA,NA
"481",2021-08-26,"PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",19,NA,NA,NA,34,NA,NA,NA
"491",2021-08-26,"PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",19,NA,NA,NA,25,NA,NA,NA
"501",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",18,NA,6,24,36,NA,NA,NA
"511",2021-08-26,"PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",18,NA,NA,NA,43,NA,NA,NA
"521",2021-08-26,"PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",18,NA,NA,NA,23,NA,NA,NA
"531",2021-08-26,"PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",18,NA,0,28,34,NA,NA,NA
"541",2021-08-26,"PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",18,NA,6,17,34,NA,NA,NA
"561",2021-08-26,"PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",17,NA,5,32,52,NA,NA,NA
"571",2021-08-26,"PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",17,NA,NA,NA,24,NA,NA,NA
"581",2021-08-26,"PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",17,NA,NA,NA,27,NA,NA,NA
"591",2021-08-26,"PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",17,NA,NA,NA,23,NA,NA,NA
"601",2021-08-26,"PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",17,NA,NA,NA,20,NA,NA,NA
"611",2021-08-26,"PUBLIC SCHOOL DISTRICT","LISA ACADEMY",16,NA,NA,NA,40,NA,NA,NA
"621",2021-08-26,"PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",16,NA,NA,NA,20,NA,NA,NA
"631",2021-08-26,"PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",15,NA,NA,NA,28,NA,NA,NA
"641",2021-08-26,"PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",15,NA,10,22,38,NA,NA,NA
"651",2021-08-26,"PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",15,NA,NA,NA,21,NA,NA,NA
"661",2021-08-26,"PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",15,NA,6,28,35,NA,NA,NA
"671",2021-08-26,"PUBLIC SCHOOL DISTRICT","GUY",15,NA,0,13,15,NA,NA,NA
"681",2021-08-26,"PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",15,NA,9,11,26,NA,NA,NA
"691",2021-08-26,"PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",15,NA,6,27,38,NA,NA,NA
"701",2021-08-26,"PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",14,NA,6,15,24,NA,NA,NA
"711",2021-08-26,"PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",14,NA,NA,NA,25,NA,NA,NA
"721",2021-08-26,"PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",14,NA,6,36,45,NA,NA,NA
"731",2021-08-26,"PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",14,NA,NA,NA,20,NA,NA,NA
"751",2021-08-26,"PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",14,NA,NA,NA,22,NA,NA,NA
"761",2021-08-26,"PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",14,NA,NA,NA,31,NA,NA,NA
"771",2021-08-26,"PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",14,NA,5,13,23,NA,NA,NA
"781",2021-08-26,"PUBLIC SCHOOL DISTRICT","NEVADA SCHOOL DIST",14,NA,0,15,16,NA,NA,NA
"791",2021-08-26,"PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",14,NA,NA,NA,20,NA,NA,NA
"801",2021-08-26,"PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",14,NA,NA,NA,22,NA,NA,NA
"811",2021-08-26,"PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",14,NA,7,19,33,NA,NA,NA
"821",2021-08-26,"PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",13,NA,NA,NA,18,NA,NA,NA
"831",2021-08-26,"PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",13,NA,NA,NA,29,NA,NA,NA
"841",2021-08-26,"PUBLIC SCHOOL DISTRICT","HOT SPRINGS SCHOOL DIST",13,NA,5,16,21,NA,NA,NA
"851",2021-08-26,"PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",12,NA,NA,NA,16,NA,NA,NA
"861",2021-08-26,"PUBLIC SCHOOL DISTRICT","MINERAL SPRINGS SCHOOL DIST",12,NA,NA,NA,14,NA,NA,NA
"871",2021-08-26,"PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",12,NA,NA,NA,20,NA,NA,NA
"881",2021-08-26,"PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",11,NA,0,15,17,NA,NA,NA
"891",2021-08-26,"PUBLIC SCHOOL DISTRICT","COUNTY LINE SCHOOL DIST",11,NA,NA,NA,18,NA,NA,NA
"901",2021-08-26,"PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",11,NA,NA,NA,27,NA,NA,NA
"911",2021-08-26,"PUBLIC SCHOOL DISTRICT","HAZEN SCHOOL DIST",11,NA,NA,NA,13,NA,NA,NA
"921",2021-08-26,"PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",11,NA,NA,NA,31,NA,NA,NA
"941",2021-08-26,"PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",11,NA,0,14,15,NA,NA,NA
"951",2021-08-26,"PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",11,NA,NA,NA,18,NA,NA,NA
"961",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",11,NA,NA,NA,22,NA,NA,NA
"971",2021-08-26,"PUBLIC SCHOOL DISTRICT","MAGAZINE SCHOOL DIST",11,NA,NA,NA,13,NA,NA,NA
"981",2021-08-26,"PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",11,NA,NA,NA,25,NA,NA,NA
"991",2021-08-26,"PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",11,NA,NA,NA,23,NA,NA,NA
"1001",2021-08-26,"PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",11,NA,NA,NA,16,NA,NA,NA
"1011",2021-08-26,"PUBLIC SCHOOL DISTRICT","SEARCY COUNTY SCHOOL DIST",11,NA,NA,NA,21,NA,NA,NA
"1021",2021-08-26,"PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",11,NA,NA,NA,29,NA,NA,NA
"1031",2021-08-26,"PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",10,NA,NA,NA,16,NA,NA,NA
"1041",2021-08-26,"PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",10,NA,NA,NA,23,NA,NA,NA
"1051",2021-08-26,"PUBLIC SCHOOL DISTRICT","EAST POINSETT CO. SCHOOL DIST",10,NA,NA,NA,12,NA,NA,NA
"1061",2021-08-26,"PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,NA,5,11,17,NA,NA,NA
"1071",2021-08-26,"PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",10,NA,5,7,17,NA,NA,NA
"1081",2021-08-26,"PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",10,NA,5,11,22,NA,NA,NA
"1091",2021-08-26,"PUBLIC SCHOOL DISTRICT","JACKSONVILLE LIGHTHOUSE CHARTER",10,NA,NA,NA,14,NA,NA,NA
"1101",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",10,NA,0,10,15,NA,NA,NA
"1111",2021-08-26,"PUBLIC SCHOOL DISTRICT","POTTSVILLE SCHOOL DIST",10,NA,NA,NA,20,NA,NA,NA
"1131",2021-08-26,"PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",10,NA,NA,NA,13,NA,NA,NA
"1141",2021-08-26,"PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",10,NA,NA,NA,16,NA,NA,NA
"1151",2021-08-26,"PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",10,NA,NA,NA,23,NA,NA,NA
"1161",2021-08-26,"PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",9,NA,NA,NA,17,NA,NA,NA
"1171",2021-08-26,"PUBLIC SCHOOL DISTRICT","BARTON",9,NA,NA,NA,16,NA,NA,NA
"1181",2021-08-26,"PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",9,NA,6,13,27,NA,NA,NA
"1191",2021-08-26,"PUBLIC SCHOOL DISTRICT","CARLISLE SCHOOL DIST",9,NA,5,9,20,NA,NA,NA
"1201",2021-08-26,"PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",9,NA,0,8,15,NA,NA,NA
"1211",2021-08-26,"PUBLIC SCHOOL DISTRICT","DUMAS SCHOOL DIST",9,NA,NA,NA,15,NA,NA,NA
"1221",2021-08-26,"PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",9,NA,NA,NA,12,NA,NA,NA
"1231",2021-08-26,"PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",9,NA,NA,NA,16,NA,NA,NA
"1241",2021-08-26,"PUBLIC SCHOOL DISTRICT","MAGNET COVE SCHOOL DIST",9,NA,NA,NA,18,NA,NA,NA
"1251",2021-08-26,"PUBLIC SCHOOL DISTRICT","OUACHITA SCHOOL DIST",9,NA,NA,NA,11,NA,NA,NA
"1261",2021-08-26,"PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",9,NA,NA,NA,13,NA,NA,NA
"1271",2021-08-26,"PUBLIC SCHOOL DISTRICT","STAR CITY SCHOOL DIST",9,NA,NA,NA,25,NA,NA,NA
"1281",2021-08-26,"PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",8,NA,NA,NA,14,NA,NA,NA
"1291",2021-08-26,"PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",8,NA,NA,NA,12,NA,NA,NA
"1301",2021-08-26,"PUBLIC SCHOOL DISTRICT","ENGLAND SCHOOL DIST",8,NA,0,6,10,NA,NA,NA
"1321",2021-08-26,"PUBLIC SCHOOL DISTRICT","EUREKA SPRINGS SCHOOL DIST",8,NA,NA,NA,11,NA,NA,NA
"1331",2021-08-26,"PUBLIC SCHOOL DISTRICT","GLEN ROSE SCHOOL DIST",8,NA,0,20,23,NA,NA,NA
"1341",2021-08-26,"PUBLIC SCHOOL DISTRICT","HELENA/WEST HELENA SCHOOL DIST",8,NA,NA,NA,12,NA,NA,NA
"1351",2021-08-26,"PUBLIC SCHOOL DISTRICT","MOUNTAIN PINE SCHOOL DIST",8,NA,NA,NA,11,NA,NA,NA
"1361",2021-08-26,"PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",8,NA,0,8,11,NA,NA,NA
"1371",2021-08-26,"PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",8,NA,NA,NA,15,NA,NA,NA
"1381",2021-08-26,"PUBLIC SCHOOL DISTRICT","PARIS SCHOOL DIST",8,NA,NA,NA,11,NA,NA,NA
"1391",2021-08-26,"PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",8,NA,NA,NA,19,NA,NA,NA
"1401",2021-08-26,"PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",7,NA,NA,NA,15,NA,NA,NA
"1411",2021-08-26,"PUBLIC SCHOOL DISTRICT","AUGUSTA SCHOOL DIST",7,NA,NA,NA,11,NA,NA,NA
"1421",2021-08-26,"PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",7,NA,NA,NA,20,NA,NA,NA
"1431",2021-08-26,"PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",7,NA,NA,NA,10,NA,NA,NA
"1441",2021-08-26,"PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",7,NA,0,9,11,NA,NA,NA
"1451",2021-08-26,"PUBLIC SCHOOL DISTRICT","DEWITT SCHOOL DIST",7,NA,0,9,11,NA,NA,NA
"1461",2021-08-26,"PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",7,NA,NA,NA,16,NA,NA,NA
"1471",2021-08-26,"PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",7,NA,NA,NA,16,NA,NA,NA
"1481",2021-08-26,"PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",7,NA,NA,NA,13,NA,NA,NA
"1491",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",7,NA,10,14,25,NA,NA,NA
"1511",2021-08-26,"PUBLIC SCHOOL DISTRICT","LINCOLN SCHOOL DIST",7,NA,NA,NA,14,NA,NA,NA
"1521",2021-08-26,"PUBLIC SCHOOL DISTRICT","MCCRORY SCHOOL DIST",7,NA,NA,NA,13,NA,NA,NA
"1531",2021-08-26,"PUBLIC SCHOOL DISTRICT","OZARK MOUNTAIN SCHOOL DIST",7,NA,NA,NA,14,NA,NA,NA
"1541",2021-08-26,"PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",7,NA,NA,NA,15,NA,NA,NA
"1551",2021-08-26,"PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",7,NA,NA,NA,11,NA,NA,NA
"1561",2021-08-26,"PUBLIC SCHOOL DISTRICT","YELLVILLE",7,NA,NA,NA,11,NA,NA,NA
"1571",2021-08-26,"PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",6,NA,0,22,33,NA,NA,NA
"1581",2021-08-26,"PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",6,NA,0,8,8,NA,NA,NA
"1591",2021-08-26,"PUBLIC SCHOOL DISTRICT","CEDARVILLE SCHOOL DIST",6,NA,NA,NA,11,NA,NA,NA
"1601",2021-08-26,"PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",6,NA,NA,NA,7,NA,NA,NA
"1611",2021-08-26,"PUBLIC SCHOOL DISTRICT","DOLLARWAY SCHOOL DIST",6,NA,5,5,12,NA,NA,NA
"1621",2021-08-26,"PUBLIC SCHOOL DISTRICT","EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",6,NA,0,10,11,NA,NA,NA
"1631",2021-08-26,"PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",6,NA,NA,NA,7,NA,NA,NA
"1641",2021-08-26,"PUBLIC SCHOOL DISTRICT","FOUNTAIN LAKE SCHOOL DIST",6,NA,NA,NA,15,NA,NA,NA
"1651",2021-08-26,"PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",6,NA,NA,NA,8,NA,NA,NA
"1661",2021-08-26,"PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",6,NA,NA,NA,22,NA,NA,NA
"1671",2021-08-26,"PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",6,NA,0,10,11,NA,NA,NA
"1681",2021-08-26,"PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",6,NA,NA,NA,8,NA,NA,NA
"1701",2021-08-26,"PUBLIC SCHOOL DISTRICT","MAYFLOWER SCHOOL DIST",6,NA,NA,NA,9,NA,NA,NA
"1711",2021-08-26,"PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",6,NA,NA,NA,13,NA,NA,NA
"1721",2021-08-26,"PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",6,NA,NA,NA,13,NA,NA,NA
"1731",2021-08-26,"PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",6,NA,NA,NA,14,NA,NA,NA
"1741",2021-08-26,"PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",5,NA,0,8,9,NA,NA,NA
"1751",2021-08-26,"PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",5,NA,NA,NA,6,NA,NA,NA
"1761",2021-08-26,"PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",5,NA,NA,NA,10,NA,NA,NA
"1771",2021-08-26,"PUBLIC SCHOOL DISTRICT","JUNCTION CITY SCHOOL DIST",5,NA,NA,NA,6,NA,NA,NA
"1781",2021-08-26,"PUBLIC SCHOOL DISTRICT","KIRBY SCHOOL DIST",5,NA,NA,NA,5,NA,NA,NA
"1791",2021-08-26,"PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",5,NA,NA,NA,12,NA,NA,NA
"1801",2021-08-26,"PUBLIC SCHOOL DISTRICT","PERRYVILLE SCHOOL DIST",5,NA,0,11,12,NA,NA,NA
"1811",2021-08-26,"PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",5,NA,0,7,8,NA,NA,NA
"1821",2021-08-26,"PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",5,NA,NA,NA,9,NA,NA,NA
